Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
Graceful 1Br At Merano Business Bay By Deluxe Holiday Homes,1,2,609 sqft,13500,"Silverene Tower A, Silverene, Dubai Marina, Dubai",Apartment,25.075271,55.1378421
"2Br Downtown Luxury, Close To Burj Khalifa By Livbnb",2,3,"1,800 sqft",13500,"JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0617417,55.2123317
Incredible-Fully Furnished Studio In Bloom Heights | Jvc,Studio,1,444 sqft,13500,"Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
"Amazing Seaview 2 B/R  Apt, 5242 Emaar",Studio,1,650 sqft,13500,"Waves Tower, Business Bay, Dubai",Apartment,25.1831647,55.272887
Studio Low Floor | With Bills | Smart Tv,1,2,823 sqft,13500,"DEC Tower 1, DEC Towers, Dubai Marina, Dubai",Apartment,25.0682879,55.12969440000001
"Weekend Promo Pyramisa Hotel Apartments Dubailand  One Bedroom  At Aed 8,100 Per Month",1,1,684 sqft,13500,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour, Dubai",Apartment,25.2084896,55.3472011
Serviced Hotel Room In Bur Dubai,1,1,819 sqft,13500,"A A Tower, Sheikh Zayed Road, Dubai",Apartment,25.2100682,55.2733564
Limited Offer September Stays.  All Bills Included.  Fully Furnished With Kitchenette.,1,2,700 sqft,13500,"Barcelo Residences, Dubai Marina, Dubai",Apartment,25.0836719,55.1422038
Restful 1Br At Mediterranean Discovery Gardens By Deluxe Holiday Homes,1,1,813 sqft,13500,"Botanica Tower, Dubai Marina, Dubai",Apartment,25.0850426,55.1424596
Community View | Weekly Cleaning | Bills Included,1,2,898 sqft,13570,"Park View Tower, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0544237,55.20305
No Kitchen | Luxury Hotel Room In Difc | Monthly Stay | Utility Bills Included,2,2,"1,495 sqft",13599,"Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0692834,55.1417222
Monthly | Cozy | Fully Furnished,2,2,"1,495 sqft",13599,"Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
Luxury Two Bedroom In The Heart Of Downtown,2,2,"1,495 sqft",13599,"Marina Plaza, Dubai Marina, Dubai",Apartment,25.0753976,55.1398252
"Amazing Burj Khalifa  Fountain View 3 Br+Maid ,Residence 6",2,2,"1,179 sqft",13599,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
Executive And Family One Bedroom Apartment On Monthly Rental!,2,2,"1,495 sqft",13599,"Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
Al Khail Heights Studio Great Location,2,2,"1,495 sqft",13599,"Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
Al Khail Heights Studio Great Location,2,2,"1,495 sqft",13599,"Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
No Kitchen | Luxury Hotel Room In Difc | Monthly Stay | Utility Bills Included,2,2,"1,495 sqft",13599,"Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0692834,55.1417222
"Amazing Burj Khalifa  Fountain View 3 Br+Maid ,Residence 6",2,2,"1,179 sqft",13599,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
No Commission| Bluewaters Island | Luxurious 2Br + Maids,1,1,"1,004 sqft",13600,"Al Khail Heights, Al Quoz 4, Al Quoz, Dubai",Apartment,25.1583051,55.25459859999999
Timeless 5Br Villa With Assistant’S Room In Frond P Palm Jumeirah By Deluxe Holiday Homes,1,1,"1,105 sqft",13600,"Prime Views, Meydan Avenue, Meydan City, Dubai",Apartment,25.1569049,55.2939242
"Studio, Jbr, Murjan  Short Term Rental",1,1,"1,188 sqft",13600,"The Matrix, Dubai Sports City, Dubai",Apartment,25.0395324,55.22069690000001
"Jumeirah Beach Residence (Jbr), Dubai - Shams 4",1,1,681 sqft,13700,"Vida Residences Dubai Marina, Dubai Marina, Dubai",Apartment,25.0722647,55.13585579999999
Stunning 1Br At Vida Residences Dubai Marina By Deluxe Holiday Homes,1,1,843 sqft,13700,"Marina Crown, Dubai Marina, Dubai",Apartment,25.0898792,55.1482325
"Elegant And Lavish 1-Bedroom Residence, Mbr",1,1,470 sqft,13700,"Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
"Elegant And Lavish 1-Bedroom Residence, Mbr",1,1,470 sqft,13700,"Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
Stunning 1Br At Vida Residences Dubai Marina By Deluxe Holiday Homes,1,1,843 sqft,13700,"Marina Crown, Dubai Marina, Dubai",Apartment,25.0898792,55.1482325
"Jumeirah Beach Residence (Jbr), Dubai - Shams 4",1,1,681 sqft,13700,"Vida Residences Dubai Marina, Dubai Marina, Dubai",Apartment,25.0722647,55.13585579999999
Newly Furnished Huge One Bedroom,1,1,803 sqft,13700,"The Grand, Dubai Creek Harbour, Dubai",Apartment,25.2070764,55.34289500000001
"Elevated Elegance: 3-Bedroom Plus Maids, Prime Location, Top-Notch Amenities | Burj Khalifa Views",1,1,474 sqft,13798,"Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
Sea View | High Floor | Upgraded,1,1,"1,182 sqft",13800,"Shams 1, Shams, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0730801,55.1308528
1Bd In Dubai Marina ! Close To Metro ! Brand New ! 10K Only !,Studio,1,555 sqft,13800,"Sky Gardens DIFC, DIFC, Dubai",Apartment,25.2119098,55.28284009999999
Luxury Type 3Bhk With Full Smart Components,1,2,751 sqft,13899,"MBL Residences, JLT Cluster K, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0671364,55.1397512
Luxury Type 3Bhk With Full Smart Components,1,2,751 sqft,13899,"MBL Residences, JLT Cluster K, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0671364,55.1397512
Distinguished 3Br With Assistant’S Room At Harbour Views Tower 1 By Deluxe Holiday Homes,1,1,828 sqft,13900,"Summer at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Super Deal## Amazing Fully Furnished Bhk Only 3500 Excluding Bills In Emirates Cluster_Ic,1,1,751 sqft,13900,"MBL Residences, JLT Cluster K, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0671364,55.1397512
No Commission Spacious Brand New & Modern 2 Bedroom,1,2,939 sqft,13900,"Tower D, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
No Commission Spacious Brand New & Modern 2 Bedroom,1,2,939 sqft,13900,"Tower D, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
Fresh 2Br At Mudon Views 4 Dubailand By Deluxe Holiday Homes,2,2,"1,360 sqft",13900,"Duja Tower, Sheikh Zayed Road, Dubai",Apartment,25.2288653,55.2862823
Skyline Canal Views I Furnished I Bills Included,1,1,703 sqft,13900,"Binghatti Canal Building, Business Bay, Dubai",Apartment,25.1859701,55.2862193
No Commission Spacious Brand New & Modern 2 Bedroom,1,2,939 sqft,13900,"Tower D, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
Exquisite 2Br W/ Exclusive Beach Access At The Palm,1,1,858 sqft,13900,"Botanica Tower, Dubai Marina, Dubai",Apartment,25.0850426,55.1424596
One Bedroom !! Furnished !! Free Bills,Studio,1,538 sqft,13900,"Sky Gardens DIFC, DIFC, Dubai",Apartment,25.2119098,55.28284009999999
2 Br Fully Furnished I Free Utility Bills,1,2,830 sqft,13900,"Waves Tower, Business Bay, Dubai",Apartment,25.1831647,55.272887
All Bills Included  L  10 Mins To Dubai Marina,1,1,828 sqft,13900,"Summer at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Amazing Studio || Burj Khalifa View || Call Us Now,1,1,"1,058 sqft",13900,"Rimal 4, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0763789,55.133531
"Gorgeous 1Br Apt With Lake View, Mbl Residence",1,1,765 sqft,13900,"Montrose Residence B, Montrose Residences, Dubai Science Park, Dubai",Apartment,25.0693188,55.2457947
Marina And Sea View | Vast | Best For Family,1,1,"1,058 sqft",13900,"Rimal 4, Rimal, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0763789,55.133531
Brand New Studio Apartment Available For Monthly Rent (No Commission) (All Bills Included),1,2,909 sqft,13900,"Bonaire Tower, Park Island, Dubai Marina, Dubai",Apartment,25.0820935,55.1423689
Majlis View || Near To Dubai Racecourse || Meydan || 1Br,1,2,"1,181 sqft",13999,"Shams 1, Shams, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0730801,55.1308528
Aliving Supreme 1 Br At Bellevue Tower  Downtown 506,1,2,940 sqft,13999,"Tower A, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
Marina View | Modern Furniture | High-Floor,1,1,945 sqft,13999,"Al Majara 2, Al Majara, Dubai Marina, Dubai",Apartment,25.0733523,55.136969
Exclusive 6Br Villa; Embrace Luxury Living At Its Finest,2,2,806 sqft,13999,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Pool View | One Bed | Free Amenities,1,2,890 sqft,13999,"The Pinnacle, Dubai Hills Estate, Dubai",Apartment,25.2048493,55.2707828
1 Bedroom Golf Vita A Damac Hills,Studio,1,441 sqft,13999,"MAG 318, Business Bay, Dubai",Apartment,25.1905143,55.2830458
One Bedroom Apartment In Sports City Free Wifi Parking Cleaning And All Bills,2,2,"1,050 sqft",13999,"Al Rigga, Deira, Dubai",Hotel Apartment,25.2675792,55.3129667
Modern Furnished | Best Community | Family-Oriented,1,2,940 sqft,13999,"Tower D, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
Luxfolio Retreats | Prime Location (New Studio),1,2,877 sqft,13999,"Bellevue Tower 1, Bellevue Towers, Downtown Dubai, Dubai",Apartment,25.1870676,55.2758253
Limited Offer | Directly Opposite Dubai Mall,1,2,779 sqft,13999,"The Haven Residences, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.065054,55.2057745
Top-Notch Amenities | Modern Furnished | Family-Oriented,1,1,478 sqft,13999,"Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
Spacious & Fully-Furnished 1 Bedroom Apartment,1,1,680 sqft,13999,"Burj Royale, Downtown Dubai, Dubai",Apartment,25.1916802,55.2801754
Brand New I Spacious I Studio With Balcony I Just 4700 Pm,2,2,786 sqft,13999,"Sobha Creek Vistas Tower A, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Canal View Stylish 1 Br At Meera Tower,1,2,875 sqft,13999,"Mag 218 Tower, Dubai Marina, Dubai",Apartment,25.0879538,55.14895250000001
Stunning 3Br In Downtown,2,1,887 sqft,13999,"Standpoint Tower 1, Standpoint Towers, Downtown Dubai, Dubai",Apartment,25.1937032,55.2725735
Chic Studio | Beautiful Amenities | Pool View,1,2,947 sqft,13999,"Acacia B, Acacia, Park Heights, Dubai Hills Estate, Dubai",Apartment,25.1129375,55.24636779999999
Vida Creek View| Fully Furnished | All Bills Included,1,1,767 sqft,13999,"Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour, Dubai",Apartment,25.2068836,55.3442211
Superior Studio | Burj Khalifa And Canal View !!,1,1,646 sqft,13999,"Executive Residences 2, Executive Residences, Dubai Hills Estate, Dubai",Apartment,25.1123419,55.2480894
Alluring Studio In Damac Hills,1,2,844 sqft,13999,"Millennium Binghatti Residences, Business Bay, Dubai",Apartment,25.1805314,55.2689479
Summer Offer | Modern Amenities | Multi-Building Complex,1,2,857 sqft,13999,"The Bay, Business Bay, Dubai",Apartment,25.1908744,55.2909954
Newly Furnished | Modern Community | Family-Oriented,2,2,"1,200 sqft",13999,"Princess Tower, Dubai Marina, Dubai",Apartment,25.0887804,55.14689509999999
"Modern, Colorful & Cozy Design Apartment In Acacia @Parc Heights Building, Dubai Hills Estate",1,1,"1,181 sqft",13999,"Shams 1, Shams, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0730801,55.1308528
Distinguished 2Br At Harbour Views Tower 1 By Deluxe Holiday Homes,1,2,907 sqft,13999,"Elite Business Bay Residence, Business Bay, Dubai",Apartment,25.1799797,55.2659768
Slick 1Br At Binghatti Creek Al Jadaf By Deluxe Holiday Homes,1,2,779 sqft,13999,"The Haven Residences, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.065054,55.2057745
Zero Commission | No Hidden Charges | Spacious 2Bhk | Serviced Apartment | Close To Metro | All Bills Inn,1,2,"1,034 sqft",13999,"Park Tower A, Park Towers, DIFC, Dubai",Apartment,25.2095245,55.2790906
Superior 1Br | Lovely Amenities | Inviting,2,2,946 sqft,13999,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Fully Furnished 1Bhk || Ready To Move In || Call Us Now,1,1,750 sqft,13999,"Standpoint Tower 1, Standpoint Towers, Downtown Dubai, Dubai",Apartment,25.1937032,55.2725735
Elegant Furnished || Great Price || Spacious Apartment,Studio,1,410 sqft,13999,"Dubai Marina, Dubai",Hotel Apartment,25.0805422,55.1403426
Brand New I Close To Burj Khalifa I Downtown,2,2,"1,087 sqft",13999,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.066708,55.141881
Summer Limited Offer | Modern Amenities | Family-Oriented,1,2,690 sqft,13999,"Binghatti Creek, Al Jaddaf, Dubai",Apartment,25.2123114,55.3191168
Top-Notch Amenities | Modern Furnished | Family-Oriented,1,1,478 sqft,13999,"Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
Creek View | Newly Furnished | Modern Amenities,Studio,1,507 sqft,13999,"Palm Views, Palm Jumeirah, Dubai",Apartment,25.1137006,55.13978119999999
Modern Furnished | Best Community | Family-Oriented,1,2,940 sqft,13999,"Tower D, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
Spacious & Fully-Furnished 1 Bedroom Apartment,1,1,680 sqft,13999,"Burj Royale, Downtown Dubai, Dubai",Apartment,25.1916802,55.2801754
Luxfolio Retreats | Prime Location (New Studio),1,2,877 sqft,13999,"Bellevue Tower 1, Bellevue Towers, Downtown Dubai, Dubai",Apartment,25.1870676,55.2758253
Maison Privee - Damac Reva Residences,1,1,767 sqft,13999,"Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour, Dubai",Apartment,25.2068836,55.3442211
Immaculate 1Br At Una Town Square Dubailand By Deluxe Holiday Homes,1,1,886 sqft,13999,"Downtown Dubai, Dubai",Apartment,25.1949849,55.2784141
Glamorous 1Br Apartment In Rimal 3 Jumeirah Beach Residence By Deluxe Holiday Homes,1,2,987 sqft,13999,"City Walk, Al Wasl, Dubai",Apartment,25.2074895,55.2625253
The Greens & Views| Newly Furnished | All Bills Included,1,2,547 sqft,13999,"Bellevue Tower 2, Bellevue Towers, Downtown Dubai, Dubai",Apartment,25.1870676,55.2758253
Fully Furnished | Modern Amenities | View Of Water,1,2,"1,276 sqft",13999,"The Lofts West, The Lofts, Downtown Dubai, Dubai",Apartment,25.1965476,55.2695474
"Exclusive 1Br Apartment In Axis Residence 6, Dso",1,1,767 sqft,13999,"Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour, Dubai",Apartment,25.2068836,55.3442211
Brand New 1 Bdr | Fully Furnished | Bills Included,1,1,720 sqft,13999,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
1Br Minimalistic| Furnished Modern Layout  Dubai Hills,1,2,700 sqft,13999,"Azizi Riviera 7, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.1736872,55.3021223
Fully Upgraded 2Bh For Rent In Emaar 6 Tower (Al Mesk Marina ),1,2,609 sqft,13999,"Silverene Tower B, Silverene, Dubai Marina, Dubai",Apartment,25.0752339,55.13846119999999
One Br Apt | All Inclusive  I Address Dubai Mall,2,3,872 sqft,13999,"The Crescent Towers, Dubai Production City (IMPZ), Dubai",Apartment,25.0329477,55.20271109999999
"""Reva Residences: 2-Bedroom Luxury Apartment With All-Inclusive Comfort""",3,3,"1,938 sqft",13999,"MBK Tower, Business Bay, Dubai",Apartment,25.1923702,55.2622655
Cozy Studio In Jvc | Damac Ghalia | All Bills Inclusive,1,1,910 sqft,13999,"Burj Views, Downtown Dubai, Dubai",Apartment,25.190671,55.281873
High Floor | Great Amenities | Deluxe,2,2,899 sqft,13999,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Luxurious 2-Bedroom Unit @ Downtown,2,2,582 sqft,13999,"Al Rigga, Deira, Dubai",Apartment,25.2675792,55.3129667
High Floor | Great Amenities | Deluxe,2,2,899 sqft,13999,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Community View | Weekly Cleaning | Bills Included,1,2,934 sqft,13999,"Miska 3, Miska, Old Town, Downtown Dubai, Dubai",Apartment,25.1885929,55.2759236
Luxury 2 Bedroom Apartment With Sea View,1,1,861 sqft,13999,"Avanti Tower, Business Bay, Dubai",Apartment,25.1766978,55.27113139999999
Modern Style Studio Unit @ Bayz By Danube,2,3,"1,349 sqft",13999,"Tower 2, Dubai Wharf, Culture Village, Dubai",Apartment,25.2263115,55.3394668
Spacious | Newly Furnished | Stylish,2,2,829 sqft,13999,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Newly Furnished & Cozy 1 Bdr Apartment With Burj Khalifa View,1,1,965 sqft,13999,"Tanaro, The Views, Dubai",Apartment,25.0887602,55.171993
Spacious | Newly Furnished | Stylish,2,2,829 sqft,13999,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Summer Promotion | High Floor | Modern Community | Family-Oriented,3,3,"1,331 sqft",13999,"Binghatti Avenue, Al Jaddaf, Dubai",Apartment,25.2122955,55.3164952
Family-Friendly 1Br Apartment In A Gated Community,1,2,"1,087 sqft",13999,"Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
Amazingly Furnished 1Bhk || Burj Khalifa View || Spacious Large Layout,1,1,863 sqft,13999,"Princess Tower, Dubai Marina, Dubai",Apartment,25.0887804,55.14689509999999
Summer Promotion | High Floor | Modern Community | Family-Oriented,3,3,"1,331 sqft",13999,"Binghatti Avenue, Al Jaddaf, Dubai",Apartment,25.2122955,55.3164952
Bright And Spacious 2 Beds Ag Residence,1,2,693 sqft,13999,"Binghatti Creek, Al Jaddaf, Dubai",Apartment,25.2123114,55.3191168
Specious Furnished | Modern Furnished | Nshama Town Square,1,2,875 sqft,13999,"Mag 218 Tower, Dubai Marina, Dubai",Apartment,25.0879538,55.14895250000001
Fully Furnished | All Bills Included | Short Stay,Studio,1,549 sqft,13999,"Palm Views East, Palm Views, Palm Jumeirah, Dubai",Apartment,25.1170671,55.1364276
Near To Circle Mall || Amazingly Furnished Studio || Call Us Now,Studio,1,507 sqft,13999,"Palm Views, Palm Jumeirah, Dubai",Apartment,25.1137006,55.13978119999999
Distinguished 2Br At Harbour Views Tower 1 By Deluxe Holiday Homes,1,2,907 sqft,13999,"Elite Business Bay Residence, Business Bay, Dubai",Apartment,25.1799797,55.2659768
Homey Studio Apartment @ Bayz By Danube -Business Bay,1,1,589 sqft,13999,"15 Northside, Business Bay, Dubai",Apartment,25.1866696,55.2865019
Spacious 2Br - Full Burj Khalifa View Downtown,1,2,"1,324 sqft",13999,"Cappadocia, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0510069,55.2117383
Splendor 2Br In Address Jbr- Private Beach Access,2,2,899 sqft,13999,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Zero Commission | No Hidden Charges | Spacious 1Bhk | Serviced Apartment | Close To Metro,6,7,"15,641 sqft",130000,"Palm Jumeirah, Dubai",Villa,25.1124317,55.13897799999999
New Luxurious Dubai Creek Fully Furnished 2 Bed,4,4,"6,717 sqft",135000,"Garden Homes Frond K, Garden Homes Palm Jumeirah, Palm Jumeirah, Dubai",Villa,25.1189429,55.1217426
Spacious 1 Bhk/Fully Furnished/4 Burner Lpg Stove Top/Daily Housekeeping/Modern/New (2022)/Smart Tv/Free Parking/Free Wi-Fi/Balcony/Living/2 Toilets,5,5,"5,046 sqft",135700,"Canal Cove, Palm Jumeirah, Dubai",Villa,25.1124317,55.13897799999999
Spacious 1 Bhk/Fully Furnished/4 Burner Lpg Stove Top/Daily Housekeeping/Modern/New (2022)/Smart Tv/Free Parking/Free Wi-Fi/Balcony/Living/2 Toilets,5,5,"5,046 sqft",135700,"Canal Cove, Palm Jumeirah, Dubai",Villa,25.1124317,55.13897799999999
Cozy Furnished 1Br In Dubai Marina,1,2,766 sqft,14000,"Marina View Tower B, Marina View Tower, Dubai Marina, Dubai",Apartment,25.0792439,55.1427251
Newly Furnished 1Bdr Apartment In Creek Harbour / 17 Icon Bay,1,1,923 sqft,14000,"Boulevard Central 2, Boulevard Central, Downtown Dubai, Dubai",Apartment,25.191536,55.273404
Pleasant Stay At The Address Dubai Mall,1,1,490 sqft,14000,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Stunning Apartment | Great Location | Cityscape View,1,1,712 sqft,14000,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Furnished Studio| Bright & Spacious| Near Metro Station,1,2,680 sqft,14000,"Paramount Tower Hotel & Residences, Business Bay, Dubai",Apartment,25.1934375,55.2654375
Ultimate Luxury Samana Signature Living Dubai,1,2,829 sqft,14000,"DEC Tower 2, DEC Towers, Dubai Marina, Dubai",Apartment,25.0682879,55.12969440000001
Deluxe | Great Location | All Bills Included,2,3,"1,400 sqft",14000,"Artesia C, Artesia, DAMAC Hills, Dubai",Apartment,25.020414,55.24472249999999
"Modern 1 B/R Refurnished, Bay Central Tower Dubai Marina",1,2,675 sqft,14000,"Merano Tower, Business Bay, Dubai",Apartment,25.1848281,55.2603221
Large Layout | Convenient Location | Spacious Balcony,1,1,804 sqft,14000,"The Grand, Dubai Creek Harbour, Dubai",Apartment,25.2070764,55.34289500000001
No Commission L All Bills Included | Brand New Studio | Damac Hills Artesia,1,1,843 sqft,14000,"The Bay, Business Bay, Dubai",Apartment,25.1908744,55.2909954
Cozy 1Br At Bay Central 1 Dubai Marina By Deluxe Holiday Homes,1,2,830 sqft,14000,"Botanica Tower, Dubai Marina, Dubai",Apartment,25.0850426,55.1424596
Wonderful Offer! 1 Bedroom | Burj Khalifa View | Free Housekeeping,2,2,"1,360 sqft",14000,"Duja Tower, Sheikh Zayed Road, Dubai",Apartment,25.2288653,55.2862823
Elegant Apartment | Modern Furniture  | Great Location,1,2,880 sqft,14000,"17 Icon Bay, Dubai Creek Harbour, Dubai",Apartment,25.2039806,55.3457334
Spacious Fully Furnished 2 Bedroom Apartment With Free Dewa And Internet,1,2,749 sqft,14000,"La Riviera Apartments, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0605387,55.2023222
Classy Furnished 1Bhk + Maid Room || Ready To Move In || Call Us Now,Studio,1,714 sqft,14000,"Murjan 2, Murjan, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0830269,55.1397152
2 Bedroom In Bluewaters | Free Cleaning Services,1,1,765 sqft,14000,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.066708,55.141881
Luxury 1Br Apartments In The Polo Residence Meydan,1,1,764 sqft,14000,"The Royal Oceanic, Dubai Marina, Dubai",Apartment,25.0843314,55.1416791
Vibrant 1Br At Pantheon Boulevard Jumeirah Village Circle By Deluxe Holiday Homes,1,1,860 sqft,14000,"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai",Apartment,25.1911669,55.2698645
Cozy Studio In Meydan With Balcony,1,1,471 sqft,14000,"Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
Unique High Floor Apt | Marina Views | Furnihsed,2,3,"1,850 sqft",14000,"Sunrise Tower JVC, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0605284,55.2143907
Walk To The Metro| Prime Location | Weekly Cleaning,1,1,625 sqft,14000,"Al Barsha 1, Al Barsha, Dubai",Hotel Apartment,25.1103799,55.1954315
High-End Luxury | Full Marina View | Bills Included,1,2,"1,034 sqft",14000,"Amna, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
Dubai Hills | Fully Furnished 1-Bedroom | Bills Included,2,3,"1,461 sqft",14000,"Azizi Yasamine, Al Furjan, Dubai",Apartment,25.0338555,55.1468819
Unique And Spacious| Newly Furnished L Bills Included,1,2,723 sqft,14000,"Marina Residence B, Marina Residence, Dubai Marina, Dubai",Apartment,25.0724878,55.1379366
Damac Heights-2Br W/City Sea View By Livbnb,1,1,680 sqft,14000,"Harbour Gate Tower 1, Harbour Gate, Dubai Creek Harbour, Dubai",Apartment,25.2084896,55.3472011
Damac Hills | Fully Furnished |All Bills Included,2,2,800 sqft,14000,"Sobha Creek Vistas Reserve Tower A, Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
All Inclusive Jvc Binghatti Gate 1 Bhk (No Commission),1,1,773 sqft,14000,"Yansoon 2, Yansoon, Old Town, Downtown Dubai, Dubai",Apartment,25.1922773,55.2787164
Sleek Downtown Apartment | Burj Khalifa Views,1,2,675 sqft,14000,"Merano Tower, Business Bay, Dubai",Apartment,25.1848281,55.2603221
"Luxurious 3Br With Full Marina View, Bills Included",1,1,753 sqft,14000,"Lake Terrace, JLT Cluster D, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0701718,55.1411186
Trendy Studio With Hotel Amenities,1,1,677 sqft,14000,"Bayshore 4, Bayshore at Creek Beach, Dubai Creek Harbour, Dubai",Apartment,25.2017341,55.34895659999999
Canal Views | Exclusively Fully Furnished 2Br | Ready To Move In,1,1,678 sqft,14000,"Creekside 18 Tower B, Creekside 18, Dubai Creek Harbour, Dubai",Apartment,25.2041103,55.3446076
Canal Views | Exclusively Fully Furnished 2Br | Ready To Move In,1,1,678 sqft,14000,"Creekside 18 Tower B, Creekside 18, Dubai Creek Harbour, Dubai",Apartment,25.2041103,55.3446076
Quiet Studio W/ Balcony In Dubai Marina,Studio,1,516 sqft,14000,"Marquise Square, Business Bay, Dubai",Apartment,25.1850643,55.27587699999999
Stunning 2Bedroom In Dubai Downtown,1,2,559 sqft,14000,"The Carlton Downtown Hotel, Sheikh Zayed Road, Dubai",Apartment,25.2093267,55.27480329999999
Stunning Full Sea View High Floor Two-Bedroom Apartment,1,1,726 sqft,14000,"Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
All Inclusive Jvc Binghatti Gate 1 Bhk (No Commission),1,1,773 sqft,14000,"Yansoon 2, Yansoon, Old Town, Downtown Dubai, Dubai",Apartment,25.1922773,55.2787164
Top Class 1Bhk || Well Furnished || Contact Us Now,2,2,889 sqft,14000,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.066708,55.141881
No Commission | All Bills | Free Cleaning | Near To Jbr Walk,2,2,801 sqft,14000,"Sobha Creek Vistas Reserve Tower A, Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
