,Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
1317,30 % SUMMER SALE !!! Studio Furnished Apartment,1,1,400 sqft,"4,500","Bur Dubai, Dubai",Hotel Apartment,25.2145565,55.3032906
1318,Dubai Mall Direct Access - 1BR Overseeing Burj Khalifa in Downtown by Livbnb,1,2,839 sqft,"20,000","The Address Fountain Views 1, The Address Residence Fountain Views, Downtown Dubai, Dubai",Apartment,25.1948261,55.28285959999999
1319,Spacious 2-Bedroom Apartment includes bills,2,2,"1,268 sqft","9,000","Plaza Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0528232,55.2080561
1320,Livbnb Marina Suites - Upgraded Duplex 5 Bedroom,4,6,"3,829 sqft","50,000","Bay Central, Dubai Marina, Dubai",Apartment,25.0786645,55.1375328
1321,Lovely 1 BHK Apartment with balcony at Golf Vista,1,2,851 sqft,"8,500","Golf Vista, Golf Town, DAMAC Hills, Dubai",Apartment,25.0165159,55.2530927
1322,Amazing View | Spacious Layout | Luxury Furniture,1,1,743 sqft,"8,499","Marina Heights Tower, Dubai Marina, Dubai",Apartment,25.0872463,55.14819480000001
1323,Spacious 1BR | Fully Furnished | Bills Inculded,1,2,880 sqft,"11,500","DAMAC Maison Dubai Mall Street, Downtown Dubai, Dubai",Apartment,25.195023,55.2835529
1324,FREE TICKETS SUMMER SALE: Alluring 3BR with Marina View in Dubai Marina | NO COMMISSION,3,3,"2,291 sqft","15,000","Al Sahab Tower 2, Al Sahab Tower, Dubai Marina, Dubai",Apartment,25.075969,55.135692
1325,Livbnb Suites - 1 Bedroom Near Palm Mall/Beach,1,2,"1,140 sqft","9,000","Al Anbara, Shoreline Apartments, Palm Jumeirah, Dubai",Apartment,25.1125171,55.1415892
1326,FULLY FURNISHED | SEA VIEW | HUGE BALCONY,1,2,958 sqft,"9,999","Dorra Bay, Dubai Marina, Dubai",Apartment,25.0714773,55.1287892
1327,Specious Studio | Fully Furnished | Downtown,Studio,1,532 sqft,"7,499","Elite Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
1328,FURNISHED STUDIO APARTMENT WITH BALCONY FOR RENT,Studio,1,484 sqft,"2,500","Spain Cluster, International City, Dubai",Apartment,25.1651813,55.4021761
1329,Spacious | Cozy Studio | Downtown | Great Location,Studio,1,443 sqft,"5,300","Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
1330,FURNISHED STUDIO APARTMENT FOR RENT IN INTERNATIONAL CITY,Studio,1,484 sqft,"2,500","Spain Cluster, International City, Dubai",Apartment,25.1651813,55.4021761
1331,1 BHK & FF| UPGRADED KITCHEN| ARJAN,1,2,752 sqft,"7,000","The Wings, Arjan, Dubai",Apartment,25.0601377,55.24127730000001
1332,Splendid 2 Bedroom Apartment By The Canal,2,2,"1,381 sqft","13,600","DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
1333,Modern Apartment With Partial Canal and Pool View,2,3,"1,251 sqft","11,999","Meera, Al Habtoor City, Business Bay, Dubai",Apartment,25.1832074,55.2728756
1334,NO COMMISSION| Spacious Studio in ARJAN | all included,Studio,1,435 sqft,"4,499","Lincoln Park Sheffield, Lincoln Park, Arjan, Dubai",Apartment,25.062088,55.24021440000001
1335,An Immaculate Finish-1BDR Unit In Burj Views Podium,1,1,906 sqft,"9,999","Burj Views Podium, Burj Views, Downtown Dubai, Dubai",Apartment,25.190671,55.281873
1336,Fully Furnished | Near Mall of Emirates | Free Parking,2,2,"1,700 sqft","6,500","Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
1337,Burj Khalifa View | Near by Metro and Dubai Mall,3,3,"1,749 sqft","22,000","Paramount Hotel & Residences, Business Bay, Dubai",Apartment,25.1832074,55.2728756
1338,Tranquil 2BR at DAMAC Privé B Business Bay by Deluxe Holiday Homes,2,2,"1,381 sqft","14,500","DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
1339,"Brand New and Modern 1 Bedroom Apartment Merano Tower, Business Bay",1,2,750 sqft,"14,000","Merano Tower, Business Bay, Dubai",Apartment,25.1848281,55.2603221
1340,Modern Studio | Spacious | Fully Equipped,Studio,1,463 sqft,"5,499","Joya Verde Residences, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0660797,55.21226859999999
1341,Large 1BR with Parking near Five hotel in JVC | All Bills Included,1,2,828 sqft,"8,500","Regent Court, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.053366,55.2061469
1342,"All Included ,Cozy 1 BD Apartment with balcony",1,1,621 sqft,"5,000","Midtown, Dubai Production City (IMPZ), Dubai",Apartment,25.0279872,55.1810281
1343,"Superb Downtown Dubai Apartment, Amazing Location including bills",1,2,844 sqft,"9,000","DAMAC Maison Dubai Mall Street, Downtown Dubai, Dubai",Apartment,25.195023,55.2835529
1344,Serene Studio At Blue Wave Tower Dubailand by Deluxe Holiday Homes,Studio,1,582 sqft,"5,400","Blue Waves Tower, Dubai Residence Complex, Dubai",Apartment,25.098042,55.37828039999999
1345,Cosy One Bedroom In Vera Tower,1,1,513 sqft,"6,250","Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
1346,Stunning 2BR in Royal Amwaj Residences North Palm Jumeirah by Deluxe  Holiday Homes,2,2,"1,779 sqft","14,100","Anantara Residences - North, Anantara Residences, Palm Jumeirah, Dubai",Apartment,25.1313252,55.1529958
1347,2 Beds Near To Burj Al Arab Jumeirah,2,2,"1,206 sqft","15,000","Jumeirah 3, Jumeirah, Dubai",Apartment,25.180223,55.2231588
1348,Enjoy The Beautiful View Of Burj Khalifa|Close to Burj Khalifa & Mall,2,3,"1,402 sqft","13,999","Yansoon 4, Yansoon, Old Town, Downtown Dubai, Dubai",Apartment,25.1919541,55.2797589
1349,Elegant Fully Furnished Studio | Open View | All Utilities,Studio,1,505 sqft,"5,899","Park View Tower, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0544237,55.20305
1350,Superb 1BHK With Balcony | Fully Furnished | All Bills Inn,1,1,809 sqft,"8,999","Port De La Mer, La Mer, Jumeirah, Dubai",Apartment,25.2396355,55.25280129999999
1351,Best Offer Including Bills - Fully Furnished Studio With Balcony - Only For Family - Fully Facility Building - International City Phase 2,Studio,1,420 sqft,"3,699","International City Phase 2 (Warsan 4), International City, Dubai",Apartment,25.1481822,55.4009738
1352,Stylish 3 BR+1 with Burj Khalifa View,3,4,"2,102 sqft","21,000","South Ridge 1, South Ridge, Downtown Dubai, Dubai",Apartment,25.1869691,55.276798
1353,1 Bedroom Hotel Apartment | Balcony | Furnished,1,1,645 sqft,"6,499","Sheikh Zayed Road, Dubai",Hotel Apartment,25.0699544,55.1370806
1354,"One Bedroom Apartment In Downtown Next To Dubai Mall Including all bills, Wifi, Parking, and Cleaning",1,2,700 sqft,"14,998","Mon Reve, Downtown Dubai, Dubai",Apartment,25.1942446,55.2827236
1355,Fully Furnished Studio in an Amazing location|Business Bay,Studio,1,409 sqft,"6,499","DAMAC Maison Majestine, Business Bay, Dubai",Apartment,25.186457,55.282055
1356,Luxury Living besides Canal View at Bayz by Danube,3,3,"1,350 sqft","17,499","Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
1357,GRAB THE DEAL: STUDIO APARTMENT WITH KITCHENETTE / ALL BILLS INCLUDED,Studio,1,409 sqft,"4,299","Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
1358,Vacant 24th May l Clean and Fresh l Great Amenities,2,2,"1,190 sqft","13,500","Creek Horizon Tower 2, Creek Horizon, Dubai Creek Harbour, Dubai",Apartment,25.2068836,55.3442211
1359,No Commision Fully Furnished,Studio,1,476 sqft,"6,499","Vincitore Boulevard, Arjan, Dubai",Apartment,25.0594308,55.2422468
1360,Modern Studio | walk to Burj Khalifa | Free Wifi,Studio,1,452 sqft,"5,000","Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
1361,The Pad l Vacant 24th May l Bright and Cozy Unit,1,1,653 sqft,"10,850","The Pad, Business Bay, Dubai",Apartment,25.1848061,55.2818955
1362,22RR|Cozy 1BR City view,1,1,419 sqft,"6,500","Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
1363,"1 Bedroom, Hall, Kitchen | Prime Location | Beside Internet City Metro",1,1,645 sqft,"6,499","Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
1364,Luxurious One-Bedroom Apartment with Canal View at Business Bay | No Commission,1,1,654 sqft,"9,500","The Pad, Business Bay, Dubai",Apartment,25.1848061,55.2818955
1365,Amazing Deal for Studio Fully Furnished including bills,Studio,1,454 sqft,"5,100","Plaza Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0528232,55.2080561
1366,New! Luxury Dubai Creek Balcony & View,2,2,"1,079 sqft","10,500","17 Icon Bay, Dubai Creek Harbour, Dubai",Apartment,25.2039806,55.3457334
1367,Limited Time Offer l Studio Hotel Apartments,Studio,1,290 sqft,"3,525","Discovery Gardens Pavilion, Discovery Gardens, Dubai",Apartment,25.0348431,55.14712729999999
1368,Hotel Amenities l Great Location l Canal View l Spacious,Studio,1,489 sqft,"6,750","DAMAC Maison Canal Views, Business Bay, Dubai",Apartment,25.1876878,55.28390479999999
1369,Big Terrace l Peaceful and Quiet l Creek Beach l Next to Lagoon,1,2,955 sqft,"10,000","Bayshore, Dubai Creek Harbour, Dubai",Apartment,25.2028084,55.348346
1370,Spacious 2BR Near Burj Al Arab Jumeirah,2,2,"1,292 sqft","12,000","Jumeirah 3, Jumeirah, Dubai",Apartment,25.180223,55.2231588
1371,Perfect Location | Mid Floor | Fully Furnished,2,3,"1,616 sqft","15,000","Park Gate Residence, Al Kifaf, Bur Dubai, Dubai",Apartment,25.233542,55.2953925
1372,Luxury 2 Bedroom Discovery gardens,2,3,"1,240 sqft","9,999","Mogul, Discovery Gardens, Dubai",Apartment,25.0390117,55.1444815
1373,Stunning 1 BHK Apartment Reva Business bay,1,2,680 sqft,"6,999","Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
1374,1 BEDROOM GOLF VITA A DAMAC HILLS,1,1,433 sqft,"6,500","Golf Vita A, Golf Vita, DAMAC Hills, Dubai",Apartment,25.0228736,55.2427461
1375,Contemporary style Studio Business bay,Studio,1,450 sqft,"5,999","Waves Tower, Business Bay, Dubai",Apartment,25.1835916,55.28402
1376,FULLY FURNISHED STUDIO  CLOSED KITCHEN,Studio,1,550 sqft,"5,000","Building 2, Zen Cluster, Discovery Gardens, Dubai",Apartment,25.0469317,55.135077
1377,2 Bed in Taj Residence JLT by Livbnb,2,3,"1,536 sqft","15,000","The Residences JLT, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0804134,55.1543777
1378,Exotic 1 BR apartment in EMAAR beachfront!,1,1,734 sqft,"12,000","Sunrise Bay Tower 1, Sunrise Bay, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0967614,55.1394516
1379,Modern style Studio bayz by danube,Studio,1,408 sqft,"7,499","Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
1380,Fully Furnished 2 Bedrooms Apartment City View,2,3,"1,200 sqft","11,000","Marbella Holiday Homes, Al Jaddaf, Dubai",Apartment,25.215242,55.3254406
1381,STUDIO ROOM !! FULLY FURNISHED !! FREE BILLS,Studio,1,299 sqft,"4,299","Al Mankhool, Bur Dubai, Dubai",Apartment,25.2459667,55.29499759999999
1382,"WIFI, DEWA & CHILLER FREE | MODERN LAYOUT | LUXURY STUDIO | HIGH QUALITY",Studio,1,440 sqft,"5,000","Shamal Residences 2, Shamal Residences, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0513295,55.1998179
1383,ELEGANT STUDIO | HOT DEAL | FULLY FURNISHED | SPACIOUS | ALL BILLS PAID,Studio,1,480 sqft,"4,999","Plaza Residences Block D, Plaza Residences, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0528232,55.2080561
1384,Modern style 2 bedroom 17 icon bay creek harbour,2,3,"1,130 sqft","11,999","17 Icon Bay, Dubai Creek Harbour, Dubai",Apartment,25.2039806,55.3457334
1385,Vacant 24 MAY l Great Amenities l High Floor l Full Marina View,2,2,835 sqft,"10,250","Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
1386,NO COMMISSION| 2BR | Beach Access | Stunning Sea View,2,2,"1,210 sqft","11,999","La Cote Tower 3, La Cote, Port De La Mer, La Mer, Jumeirah, Dubai",Apartment,25.2201105,55.25630770000001
1387,Spacious Furnished Studio in Discovery Gardens,Studio,1,500 sqft,"4,499","Building 184, Mogul, Discovery Gardens, Dubai",Apartment,25.0390117,55.1444815
1388,Bigger Layout | City View |  Near Burj Khalifa,1,1,810 sqft,"6,000","Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
1389,LUXURIOUSLY FURNISHED 2 BR APARTMENT WITH SPECTACULAR MARINA VIEW IN ORRA MARINA,2,3,"1,435 sqft","10,999","Orra Marina, Dubai Marina, Dubai",Apartment,25.0705828,55.1331431
1390,Brand New Studio | All Bills | Fully Furnished,Studio,1,498 sqft,"5,799","Mirdif Hills, Mirdif, Dubai",Apartment,25.2245552,55.4412063
1391,Elegant  One-Bedroom | Dubai Marina view,1,2,696 sqft,"7,000","Bay Central West, Bay Central, Dubai Marina, Dubai",Apartment,25.0785015,55.1373454
1392,Furnished 3 Bedroom With Beautiful Marina Views,3,3,"1,400 sqft","12,500","Manchester Tower, Dubai Marina, Dubai",Apartment,25.0681802,55.1323932
1393,Brand New l  Big Gym and Pool I Vacant End of June,Studio,1,378 sqft,"6,850","15 Northside, Business Bay, Dubai",Apartment,25.1866696,55.2865019
1394,Modern style 1 bedroom Manchester Marina,1,2,720 sqft,"7,999","Manchester Tower, Dubai Marina, Dubai",Apartment,25.0681802,55.1323932
1395,Stunning 1Bedroom with balcony in Meera Tower,1,2,883 sqft,"9,000","Meera, Al Habtoor City, Business Bay, Dubai",Apartment,25.1832074,55.2728756
1396,Luxury Studio Retreat: Fully Furnished - Best Deal - Call Now to Secure Your Dream Home!,Studio,1,497 sqft,"5,999","The Voleo, Business Bay, Dubai",Apartment,25.1927942,55.2888388
1397,Competitive price Great Deal Spacious unit,Studio,1,373 sqft,"4,899","Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.1734161,55.3076972
1398,"Luxurious fully furnished 1BHK in JVC, bills included",1,1,592 sqft,"5,999","JVC District 12, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0545988,55.2128478
1399,Burj Al Arab View | 1BR in Madinat Jumeirah Living | Sea View,1,1,775 sqft,"10,500","Madinat Jumeirah Living, Umm Suqeim, Dubai",Apartment,25.1330986,55.183466
1400,Lovely 1 bedroom in Sobha Hartland,1,1,557 sqft,"8,000","Sobha Hartland, Dubai",Apartment,25.1769069,55.3107258
1401,2 BHK for Lowest Price - 9499 | Amazing Views with Beautiful 2-BHK at Collective,2,1,730 sqft,"9,500","Collective, Dubai Hills Estate, Dubai",Apartment,25.2048493,55.2707828
1402,"Premier 3BD 3BA Ocean View Parking, Beach,Pool,Gym",3,3,"2,368 sqft","27,000","Sarai Apartments, Palm Jumeirah, Dubai",Apartment,25.1405326,55.13698549999999
1403,Fairmont Residence 1BD Access to hotel facilities !,1,2,"1,324 sqft","11,999","The Fairmont Palm Residence South, The Fairmont Palm Residences, Palm Jumeirah, Dubai",Apartment,25.1099215,55.1408733
1404,SUMMER PROMO 1 BHK FULLY FURNISHED - AVAILABLE IN JVC -DIRECT FROM OWNER,1,2,760 sqft,"6,480","Sydney Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai",Apartment,25.052724,55.2010914
1405,EXQUISITE STUDIO | READY TO MOVE IN | FULLY FURNISHED | SPACIOUS,Studio,1,420 sqft,"3,999","Beverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0502178,55.21352760000001
1406,"Lovely Studio in Masaar Residence, JVC",Studio,1,517 sqft,"3,999","Masaar Residence, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0553194,55.1984526
1407,ALL BILLS INCLUDED: 1BHK APARTMENT NEAR TRAM,1,1,667 sqft,"5,799","Dubai Marina, Dubai",Apartment,25.0805422,55.1403426
1408,Limited Time Offer l Studio Hotel Apartments,Studio,1,290 sqft,"3,525","Discovery Gardens, Dubai",Apartment,25.0390117,55.1444815
1409,MODERN FURNISHED // SPACIOUS STUDIO //  MOTHLY BASIS,Studio,1,407 sqft,"4,999","Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
1410,2BHK Apartment with beautiful Marina view,2,3,"1,300 sqft","10,000","Sadaf 4, Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0805772,55.1371523
1411,Comfort and excellence | hotel studio | no commissions | all bills included,Studio,1,322 sqft,"5,500","Occidental Al Jaddaf, Al Jaddaf, Dubai",Hotel Apartment,25.217841,55.321816
1412,Close to Beach and Metro 1BD in Dubai Marina! Available to move in now !,1,1,800 sqft,"5,999","Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
1413,BEAUTIFUL SPECIOUS STUDIO with Balcony in IMPZ,Studio,1,490 sqft,"4,300","The Crescent Tower C, The Crescent Towers, Dubai Production City (IMPZ), Dubai",Apartment,25.0329477,55.20271109999999
1414,EXCLUSIVE STUDIO | FULLY FURNISHED | HIGH QUALITY | SPACIOUS,Studio,1,420 sqft,"3,999","Beverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0502178,55.21352760000001
1415,Luxury 1 BR Apartment | Downtown | All bills Included,1,1,"1,006 sqft","8,500","Elite Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
1416,Waterfront lux home - Dubai Marina view,1,2,"1,076 sqft","12,000","Stella Maris, Dubai Marina, Dubai",Apartment,25.0699495,55.13248950000001
1417,FREE TICKETS SUMMER SALE: Luxurious 1BR in Downtown Dubai,1,1,659 sqft,"11,000","Burj Royale, Downtown Dubai, Dubai",Apartment,25.1916802,55.2801754
1418,Deluxe & Stylish close to Downtown l Burj Khalifa l Bills Included,1,2,830 sqft,"8,000","Millennium Binghatti Residences, Business Bay, Dubai",Apartment,25.1805314,55.2689479
1419,Newly Furnished 1 Bedroom || Family Environment Cluster || Near Bus Stop and Supermarkets || With Double Balcony,1,2,950 sqft,"3,490","EMR-14, Emirates Cluster, International City, Dubai",Apartment,25.1620781,55.4238927
1420,Sea View| Beachfront | Dubai Harbour,1,1,799 sqft,"10,000","Sunrise Bay, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0975186,55.1399927
1421,Luxury upgraded Studio ! Lake View ! Cluster B,Studio,1,424 sqft,"7,999","Lake View Tower, JLT Cluster B, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.06767,55.1388359
1422,LUXURIOUS STUDIO | HIGH QUALITY | FULLY FURNISHED | SPACIOUS,Studio,1,420 sqft,"3,999","Beverly Residence, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0502178,55.21352760000001
1423,Flash Sale I Near Mashriq Metro I Serviced Apartment I Bills Incld. I,1,2,750 sqft,"5,480","Al Barsha, Dubai",Apartment,25.083827,55.220397
1424,Amazing Inner City 1BR in Downtown near Dubai Mall,1,2,854 sqft,"9,000","29 Boulevard 2, 29 Boulevard, Downtown Dubai, Dubai",Apartment,25.1918989,55.2727574
1425,Brand New l Furnished Apartment with the view of skyline and Burj Khalifa,1,2,706 sqft,"8,000","Binghatti Avenue, Al Jaddaf, Dubai",Apartment,25.2122955,55.3164952
1426,Spacious Modern Living Studio in Business bay,Studio,1,425 sqft,"6,000","Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
1427,HIGH CLASS 1BHK || AMAZINGLY FURNISHED || CALL US  NOW,1,2,890 sqft,"4,999","Binghatti Mirage, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0649094,55.20768
1428,Spacious | Budget friendly | Quiet community,1,2,"1,075 sqft","5,000","Astoria Residence, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0649978,55.2112549
1429,Best Option! Studio in Damac Hills,Studio,1,340 sqft,"3,700","Carson Tower A, Carson - The Drive, DAMAC Hills, Dubai",Apartment,25.0254132,55.24445960000001
1430,BEST DEAL!  Furnished 1 BR | Sky View Tower 1,1,1,782 sqft,"6,400","Skyview Tower, Dubai Marina, Dubai",Apartment,25.0841121,55.1423689
1431,Luxury 1 Bedroom With Landscape City View,1,2,995 sqft,"9,000","Park Gate Residence, Al Kifaf, Bur Dubai, Dubai",Apartment,25.233542,55.2953925
1432,Luxury Furnished 1BR available for Monthly Rent in DSO,1,2,800 sqft,"5,500","Dubai Silicon Oasis, Dubai",Apartment,25.1279484,55.3862638
1433,No Commission | Prime Location 1BHK | Fully Furnished | Free Wifi/DEWA,1,1,820 sqft,"8,199","AG Tower, Business Bay, Dubai",Apartment,25.1796099,55.269205
1434,Spectacular Modern  Apartment | Utilities Included,1,1,815 sqft,"6,500","Rawda Apartments, Town Square, Dubai",Apartment,25.0042677,55.292495
1435,HOT DEAL || FULLY FURNISHED || ELEGANT FURNITURE,1,2,820 sqft,"5,999","Joya Blanca Residences, Arjan, Dubai",Apartment,25.0644521,55.23096529999999
1436,Near metro! Stylish 1BR in Azizi Shaista,1,1,755 sqft,"5,200","Shaista Azizi, Al Furjan, Dubai",Apartment,25.0302756,55.1399889
1437,"Welcoming 1BR Unit in Habtoor City, Business Bay | As low as 10,000",1,1,810 sqft,"9,000","Noora, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
1438,LUXURY BRAND NEW 2BED APARTMENT,2,3,"1,355 sqft","15,000","Amna, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
1439,Spacious 1BR|Damac Upper Crest|All Bills Included,1,1,830 sqft,"7,399","Upper Crest (Burjside Terrace), Downtown Dubai, Dubai",Apartment,25.1949849,55.2784141
1440,Zero Commission | Zero Hidden Charges | Deluxe 1BHK With Balcony | Daily Cleaning | Close To MOE,1,2,850 sqft,"6,599","Al Barsha 1, Al Barsha, Dubai",Hotel Apartment,25.1103799,55.1954315
1441,Monthly Rental Studio | All Bills Included | Free Housekeeping,Studio,1,400 sqft,"4,199","Marina Heights Tower, Dubai Marina, Dubai",Apartment,25.0872463,55.14819480000001
1442,Spacious Fully Furnished One Bedroom Hotel Apartment in Barsha Heights,1,1,538 sqft,"5,715","Grand Heights Hotel Apartments, Barsha Heights (Tecom), Dubai",Hotel Apartment,25.0978017,55.1788201
1443,Affordable Cozy & Modern || Pay Monthly Rent || Luxury  Interior and Exterior,Studio,1,480 sqft,"4,490","Tenora, Residential District, Dubai South, Dubai",Apartment,24.9392775,55.2175642
1444,No Commission | No Hidden Charges | | Spacious 1BHK | Free Cleaning | All Bills Inn| Close to MOE,1,2,850 sqft,"6,299","Al Barsha, Dubai",Apartment,25.083827,55.220397
1445,Large 1 Bed Room Fully Furnished,1,2,"1,044 sqft","6,499","Dickens Circus 1, Dickens Circus, Uptown Motor City, Motor City, Dubai",Apartment,25.0436471,55.246646
1446,LAVISH STUDIO || MODERN FURNISHED || NO COMMISSION,Studio,1,479 sqft,"5,499","DAMAC Maison Majestine, Business Bay, Dubai",Apartment,25.186457,55.282055
1447,Pay Monthly 3490 || Luxury And Sophisticated || Newly Furnish Apartment || Ready on move in from 12th JULY,1,2,716 sqft,"3,490","S-17, Spain Cluster, International City, Dubai",Apartment,25.1651813,55.4021761
1448,SUMMER DEAL ll STUNNING VIEW ll BURJ KHALIFA,1,1,851 sqft,"10,000","Bellevue Tower 2, Bellevue Towers, Downtown Dubai, Dubai",Apartment,25.1870676,55.2758253
1449,SPACIOUS STUDION // DAMAC MAJESTINE // NO COMMISSION,Studio,1,472 sqft,"5,500","DAMAC Maison Majestine, Business Bay, Dubai",Apartment,25.186457,55.282055
1450,Special Offer I Luxurious 2 BDR + Maid I Dubai Marina,2,2,"1,411 sqft","14,000","Marina Crown, Dubai Marina, Dubai",Apartment,25.0898792,55.1482325
1451,MODERN LAYOUT | EXCELLENT LOCATION| 1 BED|MAJAN,1,2,850 sqft,"5,500","Croesus, Majan, Dubai",Apartment,25.0950031,55.3178936
1452,Limited Time Offer I Spacious 3BR+M I Soothing Pool and Community View I Close to Beach I Convenient Location,3,4,"1,787 sqft","12,000","Sadaf 5, Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0809636,55.1375403
1453,Cozy  One BR Apt | Promotion Price I Address Dubai Mall,1,1,723 sqft,"29,999","The Address Dubai Mall, Downtown Dubai, Dubai",Apartment,25.1998429,55.277452
1454,One BR Apt | All Inclusive  I Address Dubai Mall,1,1,723 sqft,"29,999","The Address Dubai Mall, Downtown Dubai, Dubai",Apartment,25.1998429,55.277452
1455,Spacious | Fully Furnished | Accessible To The Beach,1,2,"1,174 sqft","9,000","Murjan 2, Murjan, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0820815,55.139909
1456,Waterfront | All bills included | Attached Balcony,1,2,"1,012 sqft","15,800","InterContinental Residence Suites, Marsa Plaza, Dubai Festival City, Dubai",Apartment,25.2314982,55.3469559
1457,Exquisite Paradise - Luxurious Villa Retreat - Palm Jumeirah,3,5,"4,554 sqft","50,000","Canal Cove Frond K, Canal Cove, Palm Jumeirah, Dubai",Villa,25.1124317,55.13897799999999
1458,Bohemian 3 bedrooms apartment with view from 58th floor,3,3,"1,400 sqft","14,990","Marina Pinnacle, Dubai Marina, Dubai",Apartment,25.0886968,55.1481894
1459,Best Stay One BR Apt | Promotion Price I Address Dubai Mall,1,1,863 sqft,"29,999","The Address Dubai Mall, Downtown Dubai, Dubai",Apartment,25.1998429,55.277452
1460,Studio Apartment in JBR,Studio,1,600 sqft,"6,000","Sadaf 4, Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0805772,55.1371523
1461,Spectacular view | All Bills Included | Attached Balcony,1,1,301 sqft,"7,500","Holiday Inn Hotel, Dubai Festival City, Dubai",Apartment,25.2208025,55.3558311
1462,MODERN FURNISHING // SPACIOUS STUDIO // AVANTI TOWER,Studio,1,532 sqft,"5,500","Avanti Tower, Business Bay, Dubai",Apartment,25.1766978,55.27113139999999
1463,TOP AMENETIES| BRIGHT & COZY 1 BR| ARJAN,1,2,752 sqft,"7,000","The Wings, Arjan, Dubai",Apartment,25.0601377,55.24127730000001
1464,BEST PRICE|BIG UNIT| READY TO MOVE | 2 BHK FF,2,2,"1,179 sqft","8,000","Croesus, Majan, Dubai",Apartment,25.0950031,55.3178936
1465,EXCLUSIVE STUDIO | FULLY FURNISHED | SPACIOUS | HOT DEAL,Studio,1,450 sqft,"4,499","Shamal Residences 2, Shamal Residences, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0513295,55.1998179
1466,Pay Monthly 2490|| Family Apartment  || Lavish And Elegant || Newly Furnish Apartment || Ready To Move,Studio,1,486 sqft,"2,490","X-02, England Cluster, International City, Dubai",Apartment,25.1736832,55.4049437
1467,Lovely 1 bedroom in Sobha Hartland,1,1,557 sqft,"7,000","Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1769069,55.3107258
1468,Marina 1BD ! No commission ! Brand NEW ! Close to Metro ! Ready now,1,1,800 sqft,"5,999","Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
1469,Spacious One Bed Room || Damac Celestia || discounted Price,1,1,993 sqft,"5,999","Celestia B, Celestia, Residential District, Dubai South, Dubai",Apartment,24.9392775,55.2175642
